Date,"Bitcoin","Cryptocurrency"
2021-12-31,9080,8085
2022-01-01,9033,7865
2022-01-02,10217,9388
2022-01-03,13036,9360
2022-01-04,12651,9195
2022-01-05,11984,9957
2022-01-06,13450,10629
2022-01-07,13589,9234
2022-01-08,12061,9137
2022-01-09,11807,10884
2022-01-10,12967,9380
2022-01-11,13221,10091
2022-01-12,11704,9525
2022-01-13,11404,9541
2022-01-14,10644,8475
2022-01-15,9851,7568
2022-01-16,10359,7890
2022-01-17,11529,9716
2022-01-18,11581,8656
2022-01-19,11630,7903
2022-01-20,11580,8127
2022-01-21,15015,9246
2022-01-22,18268,10602
2022-01-23,14545,10504
2022-01-24,16659,11542
2022-01-25,15779,11568
2022-01-26,15259,11419
2022-01-27,15806,10736
2022-01-28,14173,9821
2022-01-29,13260,8912
2022-01-30,12472,9094
2022-01-31,13158,10031
2022-02-01,16337,23498
2022-02-02,14185,17489
2022-02-03,13269,13653
2022-02-04,12298,10820
2022-02-05,12046,9767
2022-02-06,11634,8947
2022-02-07,13163,9879
2022-02-08,12753,11155
2022-02-09,14306,12333
2022-02-10,13085,8810
2022-02-11,11186,8028
2022-02-12,9894,7170
2022-02-13,10793,7940
2022-02-14,11296,10332
2022-02-15,11271,9366
2022-02-16,10811,8505
2022-02-17,11377,8488
2022-02-18,11291,7236
2022-02-19,9882,6847
2022-02-20,10262,7563
2022-02-21,11053,8113
2022-02-22,11850,8958
2022-02-23,11145,8257
2022-02-24,17270,8845
2022-02-25,13508,7269
2022-02-26,10947,6676
2022-02-27,11014,6736
2022-02-28,12030,7060
2022-03-01,12521,7499
2022-03-02,11401,7462
2022-03-03,10638,7396
2022-03-04,8871,6632
2022-03-05,7949,5922
2022-03-06,8044,6112
2022-03-07,9299,6817
2022-03-08,9733,6886
2022-03-09,12113,8576
2022-03-10,10652,8477
2022-03-11,9519,7045
2022-03-12,8588,7009
2022-03-13,8389,6235
2022-03-14,9122,6387
2022-03-15,9255,6386
2022-03-16,8921,6244
2022-03-17,9130,5631
2022-03-18,8408,5578
2022-03-19,7970,5151
2022-03-20,8518,5668
2022-03-21,9042,6298
2022-03-22,8856,6204
2022-03-23,9000,6138
2022-03-24,8845,6133
2022-03-25,8899,6043
2022-03-26,7917,5095
2022-03-27,8999,5457
2022-03-28,10257,6654
2022-03-29,10065,6685
2022-03-30,10725,6915
2022-03-31,10517,6653
2022-04-01,9851,6309
2022-04-02,9006,5863
2022-04-03,9071,5620
2022-04-04,9830,6355
2022-04-05,10089,6692
2022-04-06,10101,8249
2022-04-07,9646,7416
2022-04-08,9037,6427
2022-04-09,8119,6215
2022-04-10,8876,6459
2022-04-11,10945,6926
2022-04-12,9450,6462
2022-04-13,8911,6409
2022-04-14,8360,6100
2022-04-15,8174,6308
2022-04-16,7385,5606
2022-04-17,7688,5987
2022-04-18,8678,6461
2022-04-19,8363,6411
2022-04-20,8410,6149
2022-04-21,8623,6445
2022-04-22,7819,6102
2022-04-23,7120,5450
2022-04-24,7665,5967
2022-04-25,8843,6354
2022-04-26,9393,7134
2022-04-27,9958,6339
2022-04-28,10893,6437
2022-04-29,8723,5950
2022-04-30,6962,4868
2022-05-01,6974,4992
2022-05-02,7690,5647
2022-05-03,7460,5233
2022-05-04,7461,5217
2022-05-05,8524,5829
2022-05-06,7906,5506
2022-05-07,6749,4916
2022-05-08,7120,5219
2022-05-09,11488,6366
2022-05-10,11639,6460
2022-05-11,13303,6996
2022-05-12,17791,10660
2022-05-13,15557,10457
2022-05-14,11727,8437
2022-05-15,10496,7032
2022-05-16,11026,7315
2022-05-17,10182,6742
2022-05-18,9837,7359
2022-05-19,9221,6805
2022-05-20,8118,5816
2022-05-21,7480,5011
2022-05-22,7622,4910
2022-05-23,8233,5764
2022-05-24,7624,5595
2022-05-25,7329,5203
2022-05-26,7169,5242
2022-05-27,6425,4811
2022-05-28,5887,4310
2022-05-29,5678,4386
2022-05-30,7046,5310
2022-05-31,6921,4960
2022-06-01,6623,4673
2022-06-02,6596,4446
2022-06-03,6007,4228
2022-06-04,5714,4283
2022-06-05,5721,5812
2022-06-06,6815,4789
2022-06-07,6808,4647
2022-06-08,6365,4390
2022-06-09,5887,4339
2022-06-10,5845,3988
2022-06-11,6039,3738
2022-06-12,7040,4136
2022-06-13,13990,6082
2022-06-14,14445,7092
2022-06-15,14064,6464
2022-06-16,11987,5846
2022-06-17,10121,5837
2022-06-18,14553,5859
2022-06-19,14537,5746
2022-06-20,12568,5682
2022-06-21,10789,5336
2022-06-22,9225,5404
2022-06-23,8080,4925
2022-06-24,7469,4496
2022-06-25,6416,3646
2022-06-26,5587,3663
2022-06-27,7466,4298
2022-06-28,7331,4375
2022-06-29,7000,4065
2022-06-30,7533,4390
2022-07-01,7062,4361
2022-07-02,6253,4239
2022-07-03,6302,3985
2022-07-04,6786,4163
2022-07-05,6907,4109
2022-07-06,6642,4111
2022-07-07,6370,4209
2022-07-08,6062,3606
2022-07-09,5686,3008
2022-07-10,5783,3015
2022-07-11,6922,3577
2022-07-12,7305,3691
2022-07-13,7158,3227
2022-07-14,6781,3541
2022-07-15,6293,2995
2022-07-16,5919,3002
2022-07-17,5606,2791
2022-07-18,6670,3434
2022-07-19,6794,3600
2022-07-20,6840,3681
2022-07-21,8168,3467
